,x,y,coords
0,40.01068603609527,-105.26148363080495,
1,40.01059975251413,-105.25149704185085,
2,40.01059975251413,-105.25149705185085,
3,40.008883496658925,-105.24784215555377,
4,40.00800749026908,-105.24631945861822,
5,40.00828278606837,-105.24884073507901,
6,40.01174775085389,-105.24561747900883,
7,40.00913954117447,-105.25226935118626,
8,40.01259871295751,-105.2528032324573,
9,40.01209587300516,-105.25281044706894,
10,40.01181958574008,-105.25286816396199,
11,40.01341651069436,-105.25304852929594,
12,40.013377831293,-105.25189419143511,
13,40.01402104935623,-105.24718631963128,
14,40.01281523173935,-105.24981216157447,
15,40.01312201421243,-105.24863275801128,
16,40.01395287649274,-105.25122522060315,
17,40.0138506170665,-105.25015708152705,
18,40.01377392239624,-105.24926696563028,
19,40.01035240019416,-105.24127817509331,
20,40.01002430001808,-105.2417343594904,
21,40.009082601117086,-105.24099445066105,
22,40.010186219774425,-105.24380387905214,
23,40.01065306844738,-105.25243566077484,
24,40.0129553170692,-105.24914466310284,
25,40.013621679407244,-105.24930035511522,
26,40.01352172547288,-105.25246685590024,
27,40.01344738177014,-105.25089153418986,
28,40.012393335147415,-105.25250942763769,
29,40.01267889467419,-105.25075248320768,
30,40.01191637973052,-105.25121366916305,
31,40.01111369984452,-105.25105298656936,
32,40.00946225317318,-105.25142695044059,
33,40.009766587810645,-105.24949285605464,
34,40.00935479717061,-105.24848358089417,
35,40.00868232560609,-105.24837638746091,
36,40.00771973910559,-105.24594535312008,
37,40.01004211654007,-105.2410144551615,
38,40.01071066510336,-105.25140200934194,
39,40.0106872073613,-105.24555741497683,
40,40.010996066878135,-105.24282653462761,
41,40.010953061208156,-105.24104508185556,
42,40.0089081860818,-105.24652572846124,
